pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,w_correct,w_incorrect,w_missing,w_blanks,s_correct,s_incorrect,s_missing,s_blanks,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,l_hr,l_min,l_tried,l_errors,l_time,wordscore,sentscore,letterscore,letterscoreraw,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_w_correct,r2_w_incorrect,r2_w_missing,r2_s_correct,r2_s_incorrect,r2_s_missing,r2_a1_correct,r2_a2_correct,r2_a3_correct,r2_a4_correct,r2_a5_correct,r2_a6_correct,r2_a7_correct,r2_a8_correct,r2_spelling_correct,r2_l_hr,r2_l_min,r2_l_tried,r2_l_errors,r2_l_time,r2_wordscore,r2_sentscore,r2_letterscore,r2_letterscoreraw,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
4301033,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.18840535,42.307686,43,9,0,2,8,14,,8,7,25,,3,1,1,0,0,0,0,0,0,12,19,21,5,,0,1,16,16,0,0.60000002,5.4857144,0,1.5214286,4,1,0,5,6.5214286,-0.83307171,0.66583079,-0.30902773,0.71919751,-0.2636461,0.98906785,-0.2652795,0.48215547,0,13,15,9,0,19,21,0,3,3,1,2,3,1,1,2,0,11,36,29,6,,6,0,23,23,0,0,7.8857141,0,3.4714284,16,5,6,5,19.471428
4301034,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,7,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.097562283,44.23077,45,9,0,12,12,0,,8,3,29,,3,3,1,2,0,1,1,0,0,11,37,29,5,,0,5,24,24,0,3,8.2285719,0,2.807143,5,6,0,11,13.807143,-0.83413231,0.66318518,-0.3278504,0.70824581,-0.29967707,0.95887184,-0.26987389,0.48539159,0,10,15,9,0,20,20,0,2,3,2,0,0,1,0,0,0,11,10,41,1,,6,0,40,40,0,0,13.714286,0,4.9285717,8,5,3,0,12.928572
4301035,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.097562283,43.589741,44,9,0,14,10,0,,6,6,28,,3,2,2,2,0,0,0,0,2,11,32,45,3,,4,0,42,42,2,0,14.4,4.8000002,5.8000002,5,4,0,9,14.8,-0.83413231,0.66318518,-0.3310568,0.70255351,-0.28534919,0.97759646,-0.28240478,0.4675917,0,12,19,5,0,24,16,0,2,3,3,1,3,2,0,2,7,11,6,70,0,55,14,8,70,70,7,4.8000002,24,16.799999,14.9,16,7,4,5,30.9
4301037,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,12,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,0.11906347,46.794868,47,10,0,12,12,0,,20,20,0,,3,3,1,1,2,0,0,0,0,12,39,34,3,,0,0,31,31,0,0,10.628572,0,2.6571429,4,4,2,10,12.657143,-0.83702672,0.65573931,-0.3243399,0.71351564,-0.29218328,0.96945071,-0.26931438,0.48534882,0,10,14,10,0,18,22,0,3,2,1,3,1,1,1,0,3,10,55,64,1,,4,0,63,63,3,0,21.6,7.1999998,8.1999998,12,5,6,1,20.200001
4301038,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,0.13303933,48.717953,49,10,0,9,15,0,,24,16,0,,3,3,0,1,0,0,0,0,0,12,37,38,4,,0,8,34,34,0,4.8000002,11.657143,0,4.1142855,3,4,0,7,11.114285,-0.83723128,0.65520257,-0.31995967,0.71845067,-0.27344552,0.98737097,-0.27501965,0.48205221,0,9,8,16,0,18,22,0,3,2,0,3,2,1,1,0,0,11,29,48,3,,0,0,45,45,0,0,15.428572,0,3.8571429,12,4,6,2,15.857143
4301039,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.115055,0.6692453,-0.8192898,0,1,0,0,1,0,0.19593067,51.923077,52,11,0,16,8,0,,12,18,10,,3,3,1,0,0,1,1,0,0,11,30,0,0,,8,0,0,,0,0,0,0,2,5,4,0,9,11,-0.83817828,0.65270036,-0.3196499,0.71872127,-0.28534919,0.97759646,-0.26693678,0.48412395,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301041,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.115059,0.44791409,0.81928968,0,1,0,0,1,0,0.22388239,54.487183,55,11,0,8,16,0,,19,11,10,,2,2,1,0,0,1,0,0,0,11,40,21,4,,0,8,17,17,0,4.8000002,5.8285713,0,2.6571429,4,2,0,6,8.6571426,0.83268213,0.44022202,0.37066868,1.1671563,0.31829736,0.95613945,0.31722021,1.3250943,0,10,8,16,0,17,23,0,3,2,2,3,0,1,2,0,0,11,34,57,1,,0,0,56,56,0,0,19.200001,0,4.8000002,13,6,7,0,17.799999
4301042,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,1,0,75.115059,0.44791409,0.81928968,0,1,0,0,1,0,0.22388239,53.846153,54,11,0,10,14,0,,19,11,10,,0,0,0,0,0,0,0,0,0,12,16,26,7,,0,8,19,19,0,4.8000002,6.5142856,0,2.8285713,0,0,0,0,2.8285713,0.83268213,0.44022202,0.39722556,1.1417755,0.37940899,0.84285593,0.3162494,1.3255942,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301044,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,1,0,75.115059,0.44791409,0.81928968,0,1,0,0,1,0,0.25882202,55.76923,56,12,0,8,16,0,,20,15,5,,2,3,1,2,0,0,0,0,0,12,26,17,4,,0,5,13,13,0,3,4.4571428,0,1.8642857,3,5,0,8,9.8642855,0.83231151,0.44152591,0.36602709,1.1705993,0.30403948,0.96617657,0.32184878,1.3226125,0,12,22,2,0,11,7,22,3,1,1,2,0,2,1,1,6,11,1,58,1,,20,4,57,57,6,2.4000001,19.542856,14.4,14.085714,11,6,4,1,25.085714
4301045,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,1,0,75.115059,0.44791409,0.81928968,0,1,0,0,1,0,0.26580995,57.051285,58,12,0,12,12,0,,21,19,0,,2,3,0,0,0,0,0,0,0,11,46,23,6,,0,2,17,17,0,1.2,5.8285713,0,1.7571428,2,3,0,5,6.757143,0.83223909,0.441778,0.37853745,1.1605554,0.32638708,0.94686943,0.32249221,1.3222553,0,12,8,16,0,23,17,0,3,3,0,0,2,0,0,0,0,11,16,41,4,,0,6,37,37,0,3.5999999,12.685715,0,4.0714288,8,3,3,2,12.071428
