gender,educ,age,caruse,fast,unsafe,limit,offense,policy,contrib,limwar,accept,sig
0,2,34,16,3,11,14,22,16,17,9,20,4.653245926
0,2,53,10,4,8,19,7,21,16,7,19,4.653245926
1,6,47,18,4,16,18,18,30,18,11,27,4.653245926
0,5,28,16,5,11,20,22,21,18,10,29,4.653245926
1,5,36,17,4,8,18,18,22,16,12,29,4.653245926
0,3,64,9,3,10,18,13,24,15,7,23,4.653245926
1,5,41,NA,5,8,28,NA,28,20,10,30,4.653245926
0,2,40,15,5,12,19,NA,25,17,7,25,4.653245926
0,6,24,NA,4,15,16,16,16,22,10,30,4.653245926
0,3,62,11,4,17,18,14,23,22,7,26,4.653245926
0,5,76,9,NA,18,19,7,23,20,11,27,4.653245926
0,4,67,12,3,10,16,17,15,15,8,26,4.653245926
0,4,29,15,3,13,15,19,16,18,8,10,4.653245926
1,4,57,NA,5,18,25,7,26,14,7,32,4.653245926
0,2,37,15,3,10,18,21,21,16,11,24,4.653245926
1,5,60,8,5,14,21,13,26,18,11,26,4.653245926
0,2,36,11,4,12,18,15,24,16,10,23,4.653245926
0,3,21,NA,2,9,16,NA,11,10,10,14,4.653245926
0,6,29,10,2,13,17,14,18,16,7,10,4.653245926
0,5,66,13,3,9,14,NA,12,15,7,17,4.653245926
0,2,59,11,4,12,19,12,24,16,7,18,4.653245926
1,3,26,13,5,13,21,11,22,19,8,30,4.653245926
1,5,35,12,4,14,20,16,24,19,11,27,4.653245926
NA,NA,NA,11,3,10,21,11,22,14,10,28,4.653245926
0,3,66,12,5,20,21,12,30,20,10,25,4.653245926
0,3,74,11,5,18,18,14,20,NA,11,26,4.653245926
1,2,39,13,5,14,20,14,23,19,11,36,4.653245926
0,4,55,9,5,NA,21,15,20,20,10,27,4.653245926
0,2,40,19,5,14,19,17,20,11,10,22,4.653245926
1,4,31,13,3,10,15,23,16,16,8,22,4.653245926
0,4,47,22,4,16,17,18,21,20,7,18,4.653245926
0,2,38,14,5,7,19,18,24,20,10,28,4.653245926
1,3,35,12,5,14,19,13,25,20,12,28,4.653245926
0,4,68,11,3,8,17,11,19,19,7,20,4.653245926
0,3,61,11,4,14,17,12,19,17,7,20,4.653245926
0,4,39,19,2,10,15,20,17,10,7,11,4.653245926
0,6,29,16,4,14,17,6,22,19,10,34,4.653245926
1,6,62,16,5,15,20,14,21,14,7,18,4.653245926
0,4,29,17,2,10,14,23,12,17,8,8,4.653245926
0,5,53,19,3,12,15,NA,18,17,12,23,4.653245926
0,3,36,19,4,11,16,23,19,8,7,15,4.653245926
0,6,48,17,4,10,19,18,20,14,7,8,4.653245926
0,5,54,11,3,9,20,16,21,21,10,26,4.653245926
0,5,29,19,5,17,21,17,23,22,11,28,4.653245926
0,2,70,10,5,14,NA,15,27,23,9,29,4.653245926
1,2,25,9,5,16,18,12,25,18,11,32,4.653245926
0,5,62,11,5,19,19,14,26,22,11,35,4.653245926
1,5,50,15,4,17,27,15,22,17,10,28,4.653245926
0,2,65,NA,5,13,18,NA,23,20,10,31,4.653245926
0,5,51,18,3,12,17,18,23,16,10,25,4.653245926
0,3,54,11,5,16,18,13,21,20,10,30,4.653245926
0,4,28,15,4,12,17,16,13,14,8,23,4.653245926
0,5,50,12,3,12,18,18,24,13,7,24,4.653245926
0,2,58,16,4,18,20,12,30,22,7,30,4.653245926
0,2,60,9,4,0,22,8,25,19,11,32,4.653245926
0,3,59,16,4,13,19,20,28,22,12,25,4.653245926
0,5,31,12,1,13,17,14,17,22,10,8,4.653245926
0,2,44,19,2,13,15,17,21,13,11,27,4.653245926
0,4,30,NA,4,12,17,NA,19,18,9,19,4.653245926
0,3,24,18,2,7,12,19,11,13,8,21,4.653245926
0,5,30,9,4,15,18,17,18,19,11,26,4.653245926
1,6,46,10,5,16,22,14,30,15,10,29,4.653245926
0,4,54,19,2,14,17,15,27,14,12,27,4.653245926
1,2,26,16,4,12,15,14,10,9,8,26,4.653245926
0,4,40,18,3,9,14,21,16,14,7,9,4.653245926
0,5,62,10,4,14,19,15,22,20,11,31,4.653245926
0,4,35,19,4,11,17,18,19,13,7,16,4.653245926
1,NA,53,11,4,14,19,16,24,20,12,30,4.653245926
0,4,50,16,4,14,18,15,24,8,7,14,4.653245926
0,5,48,11,3,18,19,10,27,18,12,26,4.653245926
0,5,35,17,5,18,18,11,22,12,10,27,4.653245926
